ts,key,raw
18:44:38,banner,ELM327 v2.3  >
18:44:39,D400,00 00
18:44:39,D401,00 00
18:44:39,D402,00 00
18:44:39,D403,00 00
18:44:39,D406,00
18:44:40,D40C,00
18:44:40,D464,01
18:44:40,D479,B3
18:44:40,D46D,00
18:44:40,speed,00
18:44:40,rpm,0D 4C
18:44:40,volt,37 46
18:44:41,D400,00 00
18:44:41,D401,00 00
18:44:41,D402,00 00
18:44:41,D403,00 00
18:44:41,D406,00
18:44:41,D40C,00
18:44:41,D464,01
18:44:41,D479,B3
18:44:41,D46D,00
18:44:42,speed,00
18:44:42,rpm,0D 60
18:44:42,volt,37 32
18:44:42,D400,00 00
18:44:42,D401,00 00
18:44:42,D402,00 00
18:44:42,D403,00 00
18:44:43,D406,00
18:44:43,D40C,00
18:44:43,D464,01
18:44:43,D479,B3
18:44:43,D46D,00
18:44:43,speed,00
18:44:43,rpm,0D 48
18:44:43,volt,37 46
18:44:44,D400,00 00
18:44:44,D401,00 00
18:44:44,D402,00 00
18:44:44,D403,00 00
18:44:44,D406,00
18:44:44,D40C,00
18:44:44,D464,01
18:44:44,D479,B3
18:44:44,D46D,00
18:44:44,speed,00
18:44:45,rpm,0D 70
18:44:45,volt,37 14
18:44:45,D400,00 00
18:44:45,D401,00 00
18:44:45,D402,00 00
18:44:45,D403,00 00
18:44:45,D406,00
18:44:45,D40C,00
18:44:45,D464,01
18:44:45,D479,B3
18:44:45,D46D,00
18:44:46,speed,00
18:44:46,rpm,0D 68
18:44:46,volt,37 32
18:44:46,D400,00 00
18:44:46,D401,00 00
18:44:46,D402,00 00
18:44:46,D403,00 00
18:44:46,D406,00
18:44:47,D40C,00
18:44:47,D464,01
18:44:47,D479,B3
18:44:47,D46D,00
18:44:47,speed,00
18:44:47,rpm,0D 64
18:44:47,volt,37 32
18:44:47,D400,00 00
18:44:48,D401,00 00
18:44:48,D402,00 00
18:44:48,D403,00 00
18:44:48,D406,00
18:44:48,D40C,00
18:44:48,D464,01
18:44:48,D479,B3
18:44:48,D46D,00
18:44:48,speed,00
18:44:48,rpm,0D 74
18:44:48,volt,37 32
18:44:49,D400,00 00
18:44:49,D401,00 00
18:44:49,D402,00 00
18:44:49,D403,00 00
18:44:49,D406,00
18:44:49,D40C,00
18:44:49,D464,01
18:44:49,D479,B3
18:44:49,D46D,00
18:44:50,speed,00
18:44:50,rpm,0D 7C
18:44:50,volt,37 32
18:44:50,D400,00 00
18:44:50,D401,00 00
18:44:50,D402,00 00
18:44:50,D403,00 00
18:44:50,D406,00
18:44:50,D40C,00
18:44:50,D464,01
18:44:51,D479,B3
18:44:51,D46D,00
18:44:51,speed,00
18:44:51,rpm,0D 54
18:44:51,volt,37 32
18:44:51,D400,00 00
18:44:51,D401,00 00
18:44:51,D402,00 00
18:44:52,D403,00 00
18:44:52,D406,00
18:44:52,D40C,00
18:44:52,D464,01
18:44:52,D479,B3
18:44:52,D46D,00
18:44:52,speed,00
18:44:52,rpm,0D 74
18:44:52,volt,37 32
18:44:53,D400,00 00
18:44:53,D401,00 00
18:44:53,D402,00 00
18:44:53,D403,00 00
18:44:53,D406,00
18:44:53,D40C,00
18:44:53,D464,01
18:44:53,D479,B3
18:44:53,D46D,00
18:44:54,speed,00
18:44:54,rpm,0D 84
18:44:54,volt,37 32
18:44:54,D400,00 00
18:44:54,D401,00 00
18:44:54,D402,00 00
18:44:54,D403,00 00
18:44:54,D406,00
18:44:54,D40C,00
18:44:54,D464,01
18:44:54,D479,B3
18:44:55,D46D,00
18:44:55,speed,00
18:44:55,rpm,0D 74
18:44:55,volt,37 46
18:44:55,D400,00 00
18:44:55,D401,00 00
18:44:55,D402,00 00
18:44:55,D403,00 00
18:44:55,D406,00
18:44:56,D40C,00
18:44:56,D464,01
18:44:56,D479,B3
18:44:56,D46D,00
18:44:56,speed,00
18:44:56,rpm,0D 80
18:44:56,volt,37 32
18:44:56,D400,00 00
18:44:57,D401,00 00
18:44:57,D402,00 00
18:44:57,D403,00 00
18:44:57,D406,00
18:44:57,D40C,00
18:44:57,D464,01
18:44:57,D479,B3
18:44:57,D46D,00
18:44:57,speed,00
18:44:57,rpm,0D 64
18:44:57,volt,37 14
18:44:58,D400,00 00
18:44:58,D401,00 00
18:44:58,D402,00 00
18:44:58,D403,00 00
18:44:58,D406,00
18:44:58,D40C,00
18:44:58,D464,01
18:44:58,D479,B3
18:44:58,D46D,00
18:44:59,speed,00
18:44:59,rpm,0D 44
18:44:59,volt,37 32
18:44:59,D400,00 00
18:44:59,D401,00 00
18:44:59,D402,00 00
18:44:59,D403,00 00
18:44:59,D406,00
18:45:00,D40C,00
18:45:00,D464,01
18:45:00,D479,B3
18:45:00,D46D,00
18:45:00,speed,00
18:45:00,rpm,0D 58
18:45:00,volt,37 5A
18:45:00,D400,00 00
18:45:00,D401,00 00
18:45:00,D402,00 00
18:45:01,D403,00 00
18:45:01,D406,00
18:45:01,D40C,00
18:45:01,D464,01
18:45:01,D479,B3
18:45:01,D46D,00
18:45:01,speed,00
18:45:01,rpm,0D 28
18:45:01,volt,37 32
18:45:02,D400,00 00
18:45:02,D401,00 00
18:45:02,D402,00 00
18:45:02,D403,00 00
18:45:02,D406,00
18:45:02,D40C,00
18:45:02,D464,01
18:45:02,D479,B3
18:45:02,D46D,00
18:45:03,speed,00
18:45:03,rpm,0D 30
18:45:03,volt,37 46
18:45:03,D400,00 00
18:45:03,D401,00 00
18:45:03,D402,00 00
18:45:03,D403,00 00
18:45:03,D406,00
18:45:03,D40C,00
18:45:03,D464,01
18:45:04,D479,B3
18:45:04,D46D,00
18:45:04,speed,00
18:45:04,rpm,0D 24
18:45:04,volt,37 14
18:45:04,D400,00 00
18:45:04,D401,00 00
18:45:04,D402,00 00
18:45:05,D403,00 00
18:45:05,D406,00
18:45:05,D40C,00
18:45:05,D464,01
18:45:05,D479,B3
18:45:05,D46D,00
18:45:05,speed,00
18:45:05,rpm,0D 20
18:45:05,volt,37 5A
18:45:06,D400,00 00
18:45:06,D401,00 00
18:45:06,D402,00 00
18:45:06,D403,00 00
18:45:06,D406,00
18:45:06,D40C,00
18:45:06,D464,01
18:45:06,D479,B3
18:45:06,D46D,00
18:45:06,speed,00
18:45:06,rpm,0D 28
18:45:07,volt,37 46
18:45:07,D400,00 00
18:45:07,D401,00 00
18:45:07,D402,00 00
18:45:07,D403,00 00
18:45:07,D406,00
18:45:07,D40C,00
18:45:07,D464,01
18:45:07,D479,B3
18:45:07,D46D,00
18:45:08,speed,00
18:45:08,rpm,0D 4C
18:45:08,volt,37 46
18:45:08,D400,00 00
18:45:08,D401,00 00
18:45:08,D402,00 00
18:45:08,D403,00 00
18:45:09,D406,00
18:45:09,D40C,00
18:45:09,D464,01
18:45:09,D479,B3
18:45:09,D46D,00
18:45:09,speed,00
18:45:09,rpm,0D 44
18:45:09,volt,37 14
18:45:09,D400,00 00
18:45:10,D401,00 00
18:45:10,D402,00 00
18:45:10,D403,00 00
18:45:10,D406,00
18:45:10,D40C,00
18:45:10,D464,01
18:45:10,D479,B3
18:45:10,D46D,00
18:45:10,speed,00
18:45:10,rpm,0D 30
18:45:10,volt,36 EC
18:45:11,D400,00 00
18:45:11,D401,00 00
18:45:11,D402,00 00
18:45:11,D403,00 00
18:45:11,D406,01
18:45:11,D40C,21
18:45:11,D464,01
18:45:11,D479,B1
18:45:11,D46D,00
18:45:12,speed,00
18:45:12,rpm,0D 38
18:45:12,volt,37 14
18:45:12,D400,00 00
18:45:12,D401,00 00
18:45:12,D402,00 00
18:45:12,D403,00 00
18:45:12,D406,01
18:45:12,D40C,20
18:45:12,D464,01
18:45:13,D479,B1
18:45:13,D46D,00
18:45:13,speed,00
18:45:13,rpm,0D 24
18:45:13,volt,37 14
18:45:13,D400,00 00
18:45:13,D401,00 00
18:45:13,D402,00 00
18:45:13,D403,00 00
18:45:14,D406,01
18:45:14,D40C,1F
18:45:14,D464,01
18:45:14,D479,B3
18:45:14,D46D,00
18:45:14,speed,00
18:45:14,rpm,0D 48
18:45:14,volt,37 32
18:45:15,D400,00 00
18:45:15,D401,00 00
18:45:15,D402,00 00
18:45:15,D403,00 00
18:45:15,D406,01
18:45:15,D40C,1F
18:45:15,D464,01
18:45:15,D479,B3
18:45:15,D46D,00
18:45:15,speed,00
18:45:15,rpm,0D 1C
18:45:16,volt,37 14
18:45:16,D400,00 00
18:45:16,D401,00 00
18:45:16,D402,00 00
18:45:16,D403,00 00
18:45:16,D406,01
18:45:16,D40C,1E
18:45:16,D464,01
18:45:16,D479,B3
18:45:16,D46D,00
18:45:17,speed,00
18:45:17,rpm,0D 2C
18:45:17,volt,37 32
18:45:17,D400,00 00
18:45:17,D401,00 00
18:45:17,D402,00 00
18:45:17,D403,00 00
18:45:17,D406,01
18:45:17,D40C,1E
18:45:18,D464,01
18:45:18,D479,B3
18:45:18,D46D,00
18:45:18,speed,00
18:45:18,rpm,0D 08
18:45:18,volt,37 32
18:45:18,D400,00 00
18:45:18,D401,00 00
18:45:19,D402,00 00
18:45:19,D403,00 00
18:45:19,D406,01
18:45:19,D40C,1E
18:45:19,D464,01
18:45:19,D479,B3
18:45:19,D46D,00
18:45:19,speed,00
18:45:19,rpm,0D 20
18:45:19,volt,37 14
18:45:20,D400,00 00
18:45:20,D401,00 00
18:45:20,D402,00 00
18:45:20,D403,00 00
18:45:20,D406,01
18:45:20,D40C,1E
18:45:20,D464,01
18:45:20,D479,B1
18:45:20,D46D,00
18:45:20,speed,00
18:45:21,rpm,0D 34
18:45:21,volt,37 14
18:45:21,D400,00 00
18:45:21,D401,00 00
18:45:21,D402,00 00
18:45:21,D403,00 00
18:45:21,D406,01
18:45:21,D40C,1D
18:45:21,D464,01
18:45:21,D479,B3
18:45:21,D46D,00
18:45:22,speed,00
